Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,14 000 ,6500 , 22 000,17 000 ,8200 , 27 000,20 000 ,8600 , 29 000,21 000 ,8700 , 32 000,22 000 ,9000 , 34 000,22 000 ,9300 , 35 000,21 000 ,9100 , 35 000,21 000 ,8700 , 33 000,20 000 ,7800 , 32 000,19 000 ,7300 , 30 000,18 000 ,6900 , 28 000,17 000 ,6800 , 27 000,16 000 ,6700 , 25 000,15 000 ,6700 , 24 000,15 000 ,6800 , 24 000,15 000 ,7000 , 23 000,15 000 ,7100 , 23 000,14 000 ,7300 , 22 000,14 000 ,7500 , 22 000,14 000 ,7700 , 22 000,14 000 ,7900 , 21 000,14 000 ,8000 , 21 000,14 000 ,8000 , 21 000,14 000 ,7900 , 21 000,13 000 ,7700 , 20 000,13 000 ,7600 , 20 000,13 000 ,7400 , 20 000,13 000 ,7300 , 19 000,13 000 ,7200 , 19 000
Chad,10 000 ,4600 , 19 000,13 000 ,5400 , 23 000,15 000 ,6300 , 25 000,16 000 ,7100 , 28 000,18 000 ,7500 , 29 000,19 000 ,7900 , 31 000,19 000 ,8200 , 32 000,20 000 ,8300 , 32 000,19 000 ,8100 , 32 000,19 000 ,8000 , 32 000,19 000 ,7800 , 31 000,18 000 ,7600 , 31 000,18 000 ,7500 , 29 000,18 000 ,7600 , 29 000,17 000 ,7800 , 28 000,17 000 ,7900 , 28 000,17 000 ,8100 , 27 000,17 000 ,8400 , 27 000,18 000 ,8700 , 27 000,18 000 ,9100 , 27 000,18 000 ,9600 , 27 000,18 000 ,9900 , 27 000,19 000 ,10 000 , 28 000,19 000 ,11 000 , 28 000,19 000 ,11 000 , 28 000,20 000 ,11 000 , 29 000,20 000 ,11 000 , 29 000,20 000 ,11 000 , 29 000,20 000 ,12 000 , 29 000
Chile,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1000 ,<1000 , 1400,1100 ,<1000 , 1500,1200 ,<1000 , 1700,1300 ,<1000 , 1800,1400 ,<1000 , 1900,1500 ,1000 , 2000,1600 ,1100 , 2100,1700 ,1200 , 2300,1800 ,1200 , 2400,1900 ,1300 , 2500,2000 ,1400 , 2700,2200 ,1500 , 2900,2300 ,1600 , 3100,2400 ,1700 , 3300,2600 ,1800 , 3400,2700 ,1900 , 3600,2800 ,1900 , 3600,2800 ,2000 , 3700,2900 ,2000 , 3800,3000 ,2100 , 3900,3100 ,2100 , 3900
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,3900 ,<1000 , 9500,5200 ,1200 , 9800,6400 ,2100 , 11 000,7400 ,2900 , 12 000,8300 ,3800 , 13 000,8900 ,4700 , 13 000,9400 ,6000 , 14 000,9700 ,6700 , 14 000,9800 ,6600 , 14 000,9800 ,6500 , 15 000,9700 ,6400 , 15 000,9000 ,5900 , 14 000,8300 ,5400 , 13 000,7600 ,5100 , 12 000,7200 ,4700 , 11 000,6900 ,4400 , 10 000,6800 ,4400 , 10 000,6700 ,4400 , 9800,6500 ,4300 , 9500,6500 ,4300 , 9500,6900 ,4600 , 10 000,7200 ,4800 , 10 000,7400 ,5100 , 11 000,7600 ,5200 , 11 000,7700 ,5300 , 11 000,7800 ,5400 , 11 000,7700 ,5300 , 11 000,7600 ,5200 , 11 000,7400 ,5100 , 10 000
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Congo,12 000 ,5500 , 19 000,13 000 ,6000 , 21 000,15 000 ,6500 , 24 000,15 000 ,6600 , 26 000,15 000 ,6600 , 26 000,14 000 ,6400 , 24 000,14 000 ,6100 , 23 000,13 000 ,5800 , 22 000,12 000 ,5300 , 20 000,11 000 ,5000 , 18 000,11 000 ,4800 , 17 000,10 000 ,4700 , 16 000,10 000 ,4600 , 15 000,9800 ,4500 , 15 000,9500 ,4400 , 14 000,9500 ,4500 , 15 000,9500 ,4600 , 14 000,9500 ,4700 , 14 000,9600 ,4800 , 15 000,9800 ,5000 , 15 000,9900 ,5100 , 15 000,10 000 ,5300 , 15 000,10 000 ,5400 , 15 000,10 000 ,5300 , 16 000,10 000 ,5300 , 16 000,10 000 ,5200 , 16 000,10 000 ,5200 , 16 000,10 000 ,5100 , 17 000,10 000 ,5100 , 18 000
Costa Rica,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Cuba,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1300,1000 ,<1000 , 1400,1100 ,<1000 , 1600,1200 ,<1000 , 1700,1300 ,<1000 , 1800,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1200 ,<1000 , 1800,1200 ,<1000 , 1700,1100 ,<1000 , 1600
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500
Côte d'Ivoire,57 000 ,36 000 , 88 000,67 000 ,43 000 , 100 000,76 000 ,48 000 , 120 000,81 000 ,52 000 , 130 000,85 000 ,54 000 , 130 000,85 000 ,54 000 , 130 000,84 000 ,53 000 , 130 000,81 000 ,51 000 , 120 000,77 000 ,49 000 , 120 000,72 000 ,45 000 , 110 000,66 000 ,42 000 , 100 000,61 000 ,39 000 , 95 000,57 000 ,36 000 , 88 000,54 000 ,34 000 , 83 000,51 000 ,32 000 , 79 000,49 000 ,31 000 , 76 000,48 000 ,30 000 , 74 000,47 000 ,30 000 , 72 000,47 000 ,30 000 , 72 000,46 000 ,29 000 , 71 000,46 000 ,29 000 , 71 000,46 000 ,29 000 , 71 000,46 000 ,29 000 , 71 000,46 000 ,29 000 , 71 000,46 000 ,29 000 , 71 000,45 000 ,29 000 , 70 000,44 000 ,28 000 , 68 000,43 000 ,27 000 , 66 000,41 000 ,26 000 , 64 000
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,84 000 ,41 000 , 130 000,88 000 ,43 000 , 130 000,92 000 ,43 000 , 140 000,95 000 ,44 000 , 140 000,96 000 ,44 000 , 150 000,96 000 ,42 000 , 140 000,94 000 ,40 000 , 140 000,92 000 ,38 000 , 140 000,88 000 ,36 000 , 130 000,85 000 ,34 000 , 130 000,82 000 ,34 000 , 120 000,79 000 ,33 000 , 120 000,77 000 ,34 000 , 110 000,74 000 ,34 000 , 110 000,73 000 ,34 000 , 110 000,71 000 ,34 000 , 110 000,70 000 ,35 000 , 100 000,69 000 ,35 000 , 100 000,69 000 ,36 000 , 100 000,68 000 ,36 000 , 99 000,67 000 ,37 000 , 98 000,67 000 ,37 000 , 96 000,66 000 ,37 000 , 94 000,65 000 ,37 000 , 90 000,64 000 ,37 000 , 88 000,63 000 ,37 000 , 85 000,62 000 ,37 000 , 83 000,61 000 ,37 000 , 82 000,60 000 ,37 000 , 80 000
Denmark,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Djibouti,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1400,<1000 ,<500 , 1700,1200 ,<1000 , 1900,1400 ,<1000 , 2100,1500 ,<1000 , 2200,1500 ,<1000 , 2400,1500 ,<1000 , 2400,1400 ,<1000 , 2400,1300 ,<1000 , 2300,1200 ,<500 , 2100,<1000 ,<500 , 1800,<1000 ,<500 , 1600,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1600
Dominica,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Dominican Republic,9200 ,6300 , 13 000,11 000 ,7500 , 15 000,13 000 ,8500 , 18 000,14 000 ,9400 , 20 000,16 000 ,10 000 , 22 000,17 000 ,11 000 , 24 000,17 000 ,11 000 , 26 000,17 000 ,11 000 , 26 000,17 000 ,11 000 , 25 000,16 000 ,11 000 , 23 000,16 000 ,10 000 , 22 000,15 000 ,9400 , 21 000,13 000 ,8700 , 18 000,12 000 ,8000 , 17 000,11 000 ,7300 , 15 000,10 000 ,6700 , 14 000,9300 ,6100 , 13 000,8600 ,5600 , 12 000,8000 ,5300 , 12 000,7500 ,5100 , 11 000,7100 ,4800 , 9800,6900 ,4700 , 9500,6600 ,4500 , 9300,6500 ,4500 , 9100,6400 ,4500 , 9000,6300 ,4400 , 8900,6200 ,4300 , 9100,6000 ,4200 , 9900,5900 ,4000 , 10 000
Ecuador,1500 ,<500 , 3300,1700 ,<500 , 3800,1800 ,<500 , 4100,1900 ,<1000 , 4400,2000 ,<1000 , 4400,2100 ,<1000 , 4400,2200 ,1000 , 4300,2200 ,1100 , 4300,2300 ,1200 , 4300,2300 ,1300 , 4300,2300 ,1300 , 4400,2200 ,1200 , 4000,2100 ,1200 , 3900,2100 ,1200 , 4000,2100 ,1200 , 4100,2100 ,1200 , 4000,2100 ,1200 , 4100,2100 ,1200 , 4300,2200 ,1200 , 4200,2200 ,1200 , 4200,2200 ,1200 , 4200,2200 ,1200 , 4200,2200 ,1200 , 4200,2100 ,1200 , 4100,2200 ,1200 , 4100,2200 ,1200 , 4100,2100 ,1200 , 4200,2100 ,1200 , 4200,2100 ,1200 , 4200
Egypt,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,1100 ,<1000 , 1300,1200 ,<1000 , 1500,1300 ,1000 , 1600,1400 ,1100 , 1800,1600 ,1200 , 2000,1800 ,1400 , 2300,2000 ,1500 , 2600
El Salvador,1400 ,1000 , 2100,1800 ,1300 , 2600,2200 ,1500 , 3100,2600 ,1800 , 3700,3000 ,2100 , 4300,3500 ,2400 , 4900,3900 ,2700 , 5500,4200 ,3000 , 6000,4600 ,3200 , 6500,4800 ,3400 , 6900,5000 ,3500 , 7200,5100 ,3600 , 7300,5200 ,3600 , 7400,5100 ,3600 , 7400,5100 ,3500 , 7300,4900 ,3400 , 7100,4800 ,3300 , 6900,4600 ,3200 , 6600,4300 ,3000 , 6300,4100 ,2800 , 6000,3900 ,2700 , 5700,3700 ,2500 , 5300,3400 ,2400 , 5000,3200 ,2200 , 4700,3000 ,2100 , 4400,2800 ,2000 , 4000,2600 ,1900 , 3800,2500 ,1800 , 3500,2300 ,1600 , 3200
Equatorial Guinea,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1500,1000 ,<500 , 1700,1200 ,<500 , 2000,1300 ,<1000 , 2300,1500 ,<1000 , 2500,1700 ,<1000 , 2700,1800 ,<1000 , 2900,1900 ,<1000 , 3100,2100 ,<1000 , 3300,2200 ,1000 , 3500,2400 ,1200 , 3700,2500 ,1200 , 3900,2700 ,1300 , 4200,2900 ,1400 , 4600,3100 ,1500 , 4900,3300 ,1600 , 5200,3500 ,1600 , 5500,3800 ,1700 , 6000,4000 ,1800 , 6300,4300 ,1900 , 6600,4500 ,2000 , 7200,4700 ,2100 , 7600,5000 ,2200 , 8200,5300 ,2300 , 8800,5500 ,2500 , 9400
Eritrea,2000 ,<1000 , 4500,2400 ,<1000 , 4800,2700 ,1100 , 5100,2800 ,1100 , 5100,3000 ,1200 , 5000,3100 ,1300 , 5000,3100 ,1300 , 5000,3100 ,1300 , 5000,3000 ,1200 , 4900,2900 ,1200 , 4800,2700 ,1100 , 4500,2600 ,1100 , 4300,2400 ,1000 , 4100,2300 ,<1000 , 3900,2100 ,<1000 , 3600,2000 ,<1000 , 3400,1900 ,<1000 , 3200,1800 ,<1000 , 3100,1800 ,<1000 , 3000,1800 ,<1000 , 2900,1700 ,<1000 , 2700,1700 ,<1000 , 2700,1700 ,<1000 , 2600,1600 ,<1000 , 2600,1600 ,<1000 , 2500,1600 ,<1000 , 2400,1500 ,<1000 , 2400,1500 ,<1000 , 2400,1400 ,<1000 , 2400
Estonia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<200 , <200,<500 ,<500 , <500,<500 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200
Eswatini,1600 ,<1000 , 2300,3300 ,1300 , 4600,6000 ,2500 , 8400,9800 ,4200 , 14 000,14 000 ,6500 , 19 000,19 000 ,8900 , 25 000,23 000 ,11 000 , 31 000,26 000 ,13 000 , 36 000,29 000 ,14 000 , 40 000,30 000 ,14 000 , 42 000,31 000 ,15 000 , 43 000,31 000 ,14 000 , 42 000,31 000 ,14 000 , 42 000,30 000 ,14 000 , 41 000,30 000 ,13 000 , 40 000,29 000 ,13 000 , 39 000,29 000 ,13 000 , 39 000,29 000 ,13 000 , 39 000,29 000 ,13 000 , 39 000,29 000 ,14 000 , 38 000,28 000 ,14 000 , 38 000,28 000 ,13 000 , 37 000,27 000 ,13 000 , 36 000,26 000 ,13 000 , 35 000,26 000 ,13 000 , 35 000,25 000 ,13 000 , 34 000,24 000 ,13 000 , 33 000,24 000 ,12 000 , 32 000,23 000 ,12 000 , 31 000
Ethiopia,81 000 ,47 000 , 130 000,100 000 ,58 000 , 160 000,120 000 ,68 000 , 190 000,130 000 ,75 000 , 210 000,140 000 ,79 000 , 220 000,140 000 ,80 000 , 220 000,130 000 ,77 000 , 210 000,130 000 ,72 000 , 200 000,120 000 ,66 000 , 180 000,100 000 ,60 000 , 160 000,95 000 ,54 000 , 150 000,86 000 ,50 000 , 140 000,79 000 ,45 000 , 120 000,73 000 ,42 000 , 120 000,70 000 ,40 000 , 110 000,67 000 ,39 000 , 100 000,65 000 ,38 000 , 100 000,65 000 ,37 000 , 100 000,65 000 ,38 000 , 100 000,66 000 ,38 000 , 100 000,67 000 ,39 000 , 110 000,68 000 ,39 000 , 110 000,70 000 ,40 000 , 110 000,70 000 ,40 000 , 110 000,70 000 ,41 000 , 110 000,71 000 ,41 000 , 110 000,70 000 ,41 000 , 110 000,70 000 ,40 000 , 110 000,68 000 ,39 000 , 110 000
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200
France,3400 ,2400 , 4600,3500 ,2600 , 4800,3700 ,2700 , 5100,3900 ,2800 , 5300,4000 ,2800 , 5500,4100 ,2900 , 5600,4000 ,2800 , 5500,3900 ,2800 , 5400,3700 ,2600 , 5200,3600 ,2500 , 5100,3600 ,2500 , 5100,3700 ,2600 , 5100,3800 ,2700 , 5200,4100 ,2900 , 5600,4200 ,3000 , 5700,4300 ,3100 , 5800,4200 ,3000 , 5700,4200 ,3000 , 5700,4100 ,2900 , 5600,3900 ,2800 , 5300,3700 ,2600 , 5100,3600 ,2600 , 4900,3600 ,2500 , 4800,3500 ,2500 , 4700,3600 ,2600 , 4800,3700 ,2600 , 4800,3700 ,2700 , 4900,3700 ,2700 , 5000,3800 ,2700 , 5100
Gabon,1300 ,<1000 , 2200,1600 ,<1000 , 2800,2100 ,<1000 , 3500,2600 ,1200 , 4500,3200 ,1500 , 5500,3800 ,1700 , 6300,4400 ,2000 , 7400,4900 ,2200 , 8400,5300 ,2300 , 9100,5500 ,2400 , 9600,5600 ,2500 , 9700,5600 ,2500 , 9500,5600 ,2500 , 9300,5400 ,2400 , 9100,5300 ,2200 , 8800,5100 ,2100 , 8600,5000 ,2000 , 8300,4800 ,1900 , 8100,4800 ,1900 , 7900,4800 ,2000 , 7700,4800 ,2000 , 7700,4800 ,2100 , 7700,4800 ,2100 , 7700,4800 ,2200 , 7800,4800 ,2200 , 7600,4700 ,2300 , 7600,4600 ,2300 , 7400,4500 ,2300 , 7200,4400 ,2200 , 7100
Gambia,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1300,1100 ,<1000 , 1500,1200 ,<1000 , 1600,1200 ,<1000 , 1600,1200 ,<1000 , 1600,1200 ,<1000 , 1600,1200 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1500,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1200 ,<1000 , 1600,1200 ,<1000 , 1700,1300 ,<1000 , 1700,1300 ,<1000 , 1800,1400 ,<1000 , 1900,1500 ,1000 , 2000,1500 ,1100 , 2100,1600 ,1200 , 2200,1700 ,1200 , 2300
Georgia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Germany,3100 ,2200 , 4500,2700 ,1800 , 4000,2300 ,1600 , 3500,1800 ,1300 , 2900,1500 ,1000 , 2400,1200 ,<1000 , 1900,1100 ,<1000 , 1600,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1100 ,<1000 , 1500,1200 ,<1000 , 1700,1400 ,1100 , 2000,1600 ,1200 , 2200,1800 ,1300 , 2500,1900 ,1400 , 2700,1900 ,1400 , 2700,1800 ,1300 , 2600,1700 ,1200 , 2500,1500 ,1000 , 2300,1500 ,1000 , 2300,1500 ,1000 , 2300,1500 ,1000 , 2300,1500 ,1000 , 2300,1500 ,1000 , 2200,1500 ,1000 , 2200,1500 ,1000 , 2200
