Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Colombia,15 ,13 , 18,15 ,13 , 17,15 ,13 , 17,15 ,12 , 17,22 ,18 , 26,23 ,19 , 28,23 ,19 , 28,17 ,14 , 21,41 ,32 , 49
Comoros,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Congo,12 ,10 , 14,13 ,10 , 16,14 ,11 , 17,15 ,12 , 18,18 ,14 , 22,18 ,14 , 22,19 ,15 , 24,21 ,16 , 27,25 ,19 , 33
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,,,,,,,,,,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,33 ,23 , 44,34 ,24 , 45,34 ,24 , 44,36 ,25 , 48,35 ,24 , 48,35 ,24 , 47,35 ,24 , 47,36 ,24 , 49,34 ,23 , 46
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,9 ,7 , 13,11 ,8 , 14,13 ,9 , 17,14 ,10 , 18,17 ,13 , 23,20 ,15 , 27,26 ,19 , 35,30 ,22 , 41,40 ,29 , 54
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,3 ,2 , 3,8 ,6 , 9,6 ,5 , 7,7 ,5 , 8,12 ,9 , 14,15 ,12 , 18,21 ,17 , 25,27 ,21 , 32,25 ,20 , 30
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,3 ,3 , 4,3 ,3 , 4,4 ,3 , 4,4 ,3 , 5,5 ,4 , 6,8 ,6 , 10,9 ,7 , 11,10 ,8 , 12,10 ,8 , 13
Dominica,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1,<1 ,<1 , <1
Dominican Republic,37 ,27 , 51,42 ,31 , 58,47 ,36 , 65,46 ,35 , 64,45 ,34 , 62,44 ,33 , 58,46 ,35 , 61,50 ,37 , 67,55 ,39 , 74
Ecuador,63 ,41 , >95,48 ,32 , 82,48 ,33 , 82,54 ,37 , 93,59 ,40 , >95,68 ,46 , >95,78 ,52 , >95,85 ,56 , >95,82 ,54 , >95
Egypt,21 ,20 , 23,23 ,21 , 24,20 ,19 , 22,22 ,21 , 24,24 ,22 , 25,23 ,22 , 25,27 ,25 , 29,36 ,33 , 38,39 ,36 , 42
El Salvador,44 ,34 , 55,51 ,40 , 63,44 ,34 , 54,41 ,32 , 51,48 ,38 , 59,40 ,31 , 49,34 ,26 , 42,28 ,22 , 35,24 ,19 , 30
Equatorial Guinea,2 ,1 , 2,4 ,3 , 4,4 ,3 , 5,4 ,3 , 5,4 ,3 , 5,5 ,4 , 6,7 ,6 , 10,11 ,8 , 14,14 ,10 , 19
Eritrea,13 ,10 , 18,17 ,12 , 23,20 ,15 , 29,24 ,17 , 34,27 ,19 , 39,30 ,21 , 43,33 ,23 , 48,32 ,22 , 46,37 ,26 , 55
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,45 ,39 , 50,52 ,45 , 58,59 ,51 , 65,62 ,54 , 69,62 ,54 , 70,65 ,57 , 74,80 ,70 , 92,85 ,73 , >95,76 ,63 , 88
Ethiopia,23 ,15 , 34,29 ,19 , 45,35 ,22 , 53,40 ,26 , 60,50 ,33 , 77,48 ,31 , 73,55 ,35 , 83,57 ,37 , 87,59 ,38 , 90
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,11 ,8 , 14,12 ,9 , 15,14 ,11 , 18,21 ,16 , 27,32 ,24 , 41,41 ,30 , 53,44 ,32 , 58,44 ,32 , 59,57 ,41 , 78
Gambia,10 ,8 , 13,14 ,11 , 19,17 ,13 , 21,17 ,13 , 22,22 ,17 , 28,25 ,19 , 32,30 ,23 , 40,26 ,20 , 35,30 ,23 , 39
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,7 ,6 , 8,8 ,7 , 10,10 ,8 , 12,12 ,9 , 14,14 ,11 , 17,11 ,9 , 13,14 ,11 , 16,16 ,13 , 20,20 ,15 , 25
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Grenada,<1 ,<1 , <1,30 ,27 , 36,10 ,9 , 12,20 ,18 , 24,9 ,7 , 11,18 ,15 , 20,18 ,15 , 20,<1 ,<1 , <1,36 ,33 , 43
Guatemala,21 ,19 , 22,31 ,29 , 33,36 ,33 , 38,35 ,32 , 37,39 ,35 , 42,36 ,32 , 38,35 ,31 , 37,35 ,32 , 37,36 ,33 , 39
Guinea,7 ,6 , 9,7 ,6 , 9,9 ,7 , 11,16 ,13 , 20,14 ,11 , 17,26 ,20 , 32,14 ,11 , 17,17 ,13 , 21,20 ,15 , 25
Guinea-Bissau,3 ,3 , 4,5 ,4 , 5,6 ,6 , 7,7 ,6 , 8,7 ,6 , 8,8 ,7 , 9,10 ,9 , 12,12 ,10 , 14,6 ,5 , 7
Guyana,73 ,63 , 85,76 ,65 , 89,72 ,63 , 85,65 ,56 , 75,60 ,52 , 69,54 ,47 , 64,54 ,47 , 63,44 ,37 , 52,38 ,31 , 44
Haiti,13 ,11 , 15,17 ,14 , 19,21 ,17 , 24,25 ,21 , 29,29 ,24 , 33,29 ,24 , 33,37 ,31 , 42,42 ,34 , 47,40 ,32 , 45
Honduras,51 ,42 , 60,49 ,40 , 58,56 ,46 , 66,55 ,46 , 65,57 ,47 , 68,51 ,41 , 59,51 ,42 , 60,55 ,44 , 65,41 ,33 , 49
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
