Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
South Africa,32 ,25 , 37,43 ,34 , 51,48 ,38 , 59,52 ,41 , 65,55 ,43 , 70,58 ,45 , 75,61 ,47 , 81,61 ,48 , 83,63 ,49 , 87
South Sudan,<1 ,<1 , <1,<1 ,<1 , 1,1 ,<1 , 1,2 ,1 , 2,3 ,3 , 4,4 ,3 , 6,6 ,4 , 7,7 ,6 , 10,9 ,7 , 12
Spain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sudan,8 ,6 , 10,4 ,4 , 5,5 ,4 , 6,7 ,6 , 9,11 ,8 , 14,10 ,8 , 14,12 ,8 , 17,14 ,9 , 21,15 ,8 , 23
Suriname,79 ,58 , >95,86 ,62 , >95,90 ,64 , >95,87 ,62 , >95,90 ,62 , >95,>95 ,77 , >95,>95 ,76 , >95,95 ,62 , >95,72 ,45 , >95
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,7 ,6 , 9,18 ,14 , 22,35 ,29 , 42,65 ,54 , 76,88 ,76 , >95,>95 ,86 , >95,>95 ,>95 , >95,>95 ,>95 , >95,>95 ,>95 , >95
Thailand,66 ,53 , 77,66 ,54 , 79,66 ,53 , 78,65 ,52 , 78,66 ,52 , 80,65 ,52 , 78,71 ,57 , 86,73 ,59 , 87,83 ,68 , >95
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,9 ,7 , 10,12 ,10 , 13,13 ,11 , 15,16 ,13 , 17,19 ,16 , 22,21 ,18 , 24,24 ,21 , 27,28 ,24 , 31,34 ,29 , 38
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uganda,16 ,13 , 17,18 ,15 , 20,27 ,23 , 30,34 ,29 , 38,45 ,39 , 50,52 ,45 , 57,57 ,50 , 63,61 ,53 , 67,66 ,57 , 74
Ukraine,79 ,68 , 92,84 ,72 , >95,87 ,74 , >95,91 ,78 , >95,>95 ,86 , >95,>95 ,82 , >95,>95 ,87 , >95,>95 ,86 , >95,>95 ,83 , >95
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,16 ,14 , 19,18 ,15 , 21,31 ,25 , 35,38 ,32 , 44,42 ,35 , 50,53 ,43 , 63,57 ,45 , 68,58 ,46 , 71,65 ,51 , 80
United States,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uruguay,77 ,63 , >95,75 ,61 , >95,>95 ,83 , >95,87 ,71 , >95,>95 ,80 , >95,86 ,70 , >95,65 ,52 , 87,69 ,53 , 95,64 ,47 , 90
Uzbekistan,37 ,36 , 38,49 ,48 , 51,62 ,60 , 64,72 ,70 , 75,83 ,79 , 86,91 ,87 , >95,94 ,90 , >95,94 ,89 , >95,93 ,87 , >95
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Viet Nam,70 ,58 , 81,79 ,66 , 91,87 ,72 , >95,91 ,75 , >95,93 ,77 , >95,>95 ,80 , >95,>95 ,79 , >95,>95 ,77 , >95,92 ,74 , >95
Yemen,17 ,11 , 26,20 ,13 , 32,20 ,13 , 31,20 ,14 , 31,46 ,33 , 68,28 ,20 , 40,29 ,22 , 42,32 ,24 , 47,33 ,24 , 50
Zambia,31 ,26 , 37,37 ,31 , 44,46 ,38 , 54,54 ,45 , 64,63 ,52 , 74,76 ,63 , 89,76 ,63 , 90,71 ,59 , 84,79 ,65 , 93
Zimbabwe,26 ,20 , 31,33 ,25 , 40,40 ,31 , 49,42 ,33 , 51,52 ,41 , 64,61 ,48 , 75,70 ,54 , 86,77 ,60 , 94,76 ,59 , 93
Global,20,,,25,,,30,,,34,,,40,,,45,,,49,,,52,,,54,,
